type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA,year_04295_IT,year_04297_ITA,year_04296_ITE,year_04271_ME,year_04222_ID,year_04234_IDE,year_04160_MSI,year_04224_MSIE,year_04273_MEME,year_04423_MAV,year_04406_MT,year_04404_MPP,year_04401_MISE,year_04402_MISA,year_04405_MIS
,22522,Assurance Services and Audit,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23002,Market Design,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23005,Behavioural Economics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23021,Labour Economics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23022,Public Economics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23115,Economics for Business,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23418,Economics of Money and Finance,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23504,Economics of Competition and Strategy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23565,Mathematics for Economy and Businenss,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23566,Economics for Business 2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23567,Intermediate Microeconomics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23568,Intermediate Macroeconomics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23569,Economic Growth and Development,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23570,Economics of the Environment,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23571,Introductory Econometrics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23572,Applied Microeconometrics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23580,The Global Economy (Capstone),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23592,Game Theory,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23999,Business Internship,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24101,Applied Project in Advertising and Marketing Communication,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24104,Digital Marketing and Social Media,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24205,Business-to-Business Marketing,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24207,Media Planning,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24220,International Marketing,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24306,Services Marketing,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24309,Marketing Research,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24510,Advertising Research,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25300,Fundamentals of Business Finance,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25410,Corporate Financial Analysis (Capstone),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25421,International Financial Management,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25503,Investment Analysis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25556,The Financial System,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25557,Corporate Finance: Theory and Practice,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25558,Issues in Corporate Finance,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25573,Time Series Econometrics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25574,Commercial Bank Management,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25575,Investment Bannking,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25579,Applied Portfolio Management,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25602,Ethics in Finance,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25620,Derivative Securities,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25622,Quantitative Business Analysis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25999,Business Internship,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26100,Integrating Business Perspectives,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26134,Business Statistics,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31016,Career Management for IT Professionals,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31274,Network Management,6,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,31275,Mobile Networking,6,0,,,0,0,0,4,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
,31277,Routing and Switching Essentials,6,0,,,0,0,0,3,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,
,31338,Network Servers,6,0,,,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,35363,Stochastic Models,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35383,Programming for Mathematical Modelling and Data Analysis,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37255,Forensic Statistics,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
