37233,Linear Algebra,,6
37234,Advanced Calculus,,6
37242,Optimisation in Quantitative Management,,6
37252,Regression Analysis,,6
37253,Sample Surveys,,6
37262,Simulation Modelling,,6
37335,Differential Equations,,6
37343,Nonlinear Methods in Quantitative Management ,,6
37344,Network and Combinatorial Optimisation,,6
37345,Quantitative Management Practice,,6
37356,Design and Analysis of Experiments,,6
37357,Advanced Statistical Modelling,,6
37363,Stochastic Processes,,6
37373,Programming for Data Analysis,,6
37438,Modern Analysis with Applications,,6
37458,Advanced Bayesian Methods,,6
37459,Multivariate Data Analysis,,6
37481,Honours Seminar 1,,6
41001,Cloud Computing and Software as a Service,,6
41003,Enterprise Architecture Practice,,6
41004,Analytics Capstone Project,,6
41015,Industry Experience 1,,3
41016,Industry Experience 2,,3
41019,Prototyping Physical Interaction,,6
41020,Human-centred Design Methods,,6
41021,Interaction Design Studio,,12
41024,Advanced Games Programming,,6
41025,Introduction to Software Development,,6
41026,Advanced Software Development,,6
41075,Principles of Programming Languages,,6
41076,Quantum Computing,,6
41077,Data Driven and Intelligent Robotics,,6
41078,Computing Science Studio 1,,6
41079,Computing Science Studio 2,,6
41080,Theory of Computing Science,,6
41092,Network Fundamentals,,6
41889,Application Development in the iOS Environment,,6
41900,Security Fundamentals,,6
42028,Deep Learning and Convolutional Neural Network,,6
42913,Social and Information Network Analysis,,6
48023,Programming Fundamentals,,6
48024,Applications Programming,,6
48080,Introduction to Innovation,,6
48270,Entrepreneurship and Commercialisation,,6
48433,Software Architecture,,6
59330,Advertising Practice,,6
68101,Foundations of Physics,,6
68201,Physics in Action,,6
68316,Applied Electronics and Interfacing,,6
68415,Measurement and Analysis of Physical Processes,,6
70102,Foundations of Law,,8
81511,Problems to Possibilities,,8
81512,Creative Practice and Methods,,8
81513,"Past, Present, Future of Innovation",,8
81514,Creativity and Complexity,,8
81515,Leading Innovationn,,8
81516,Initiatives and Entrepreneurship,,8
81521,Envisioning Futures,,6
81522,Innovation Internship A,,6
81523,Speculative Start-up,,6
81524,Professional Practice at the Cutting Edge,,6
81525,Innovation Internship B,,6
81528,New Knowledge-making Lab,,6
81531,Industry Innovation Project,,12
81532,Creative Intelligence Capstonne,,12
97101,Chinese Language and Culture 1,,8
97102,Chinese Language and Culture 2,,8
97103,Chinese Language and Culture 3,,8
97104,Chinese Language and Culture 4,,8
97105,Chinese Language and Culture 5,,8
97106,Chinese Language and Culture 6,,8
97109,Chinese Mass Media,,8
97110,Twentieth Century Chinese Fiction,,8
97111,Chinese Festivals and Ceremonies,,8
97112,Chinese Film,,8
97113,Chinese Culture and Heritage,,8
97201,Japanese Language and Culture 1,,8
97202,Japanese Language and Culture 2,,8
97203,Japanese Language and Culture 3,,8
97204,Japanese Language and Culture 4,,8
97205,Japanese Language and Culture 5,,8
97206,Japanese Language and Culture 6,,8
97207,Japanese Films and Popular Culture,,8
97208,Japanese Language and Identity,,8
97209,Japanese Media and Current Issues,,8
97210,Transcultural Communication in Japanese,,8
97401,French Language and Culture 1,,8
97402,French Language and Culture 2,,8
97403,French Language and Culture 3,,8
97404,French Language and Culture 4,,8
97405,French Language and Culture 5,,8
97406,French Language and Culture 6,,8
97407,Francophone Identities in Conflict,,8
97408,Show and Tell: Francophone Cultures on Display,,8
97409,Francophone Cultures of Consumption,,8
97410,Places and Spaces of the Francophone World,,8
97501,Spanish Language and Culture 1,,8
97502,Spanish Language and Culture 2,,8
97503,Spanish Language and Culture 3,,8
97504,Spanish Language and Culture 4,,8
97505,Spanish Language and Culture 5,,8
97506,Spanish Language and Culture 6,,8
97507,Human Rights in Hispanophone Societies,,8
97508,US Latin American Relations,,8
97509,Spanish Language and Culture 9,,8
976001,Foundations in International Studies,,8
97601,German Language and Culture 1,,8
97602,German Language and Culture 2,,8
97603,German Language and Culture 3,,8
97604,German Language and Culture 4,,8
97605,German Today,,8
97606,German Literature,,8
97607,German Film,,8
97608,German Popular Music,,8
976111,Contemporary China,,8
976211,Contemporary Japan,,8
976411,Contemporary France,,8
976421,Contemporary Germany,,8
976431,Contemporary Italy,,8
976502,Contemporary Latin(o) Americas,,8
976602,Contemporary Canada (Quebec),,8
977110,In-country Study 1: China,,24
977210,In-country Study 1: Japan,,24
977410,In-country Study 1: France,,24
977420,In-country Study 1: Germany,,24
977430,In-country Study 1: Italy,,24
977450,In-country Study 1: Spain,,24
977460,In-country Study 1: Switzerland,,24
977520,In-country Study 1: Chile,,24
977530,In-country Study 1: Mexico,,24
977542,In-country Study 1: Argentina,,24
977543,In-country Study 1: Canada,,24
977620,In-country Study 1: Latino USA,,24
977911,In-country Study 1: Colombia,,24
977914,In-country Study 1: Costa Rica,,24
977915,In-country Study 2: Costa Rica,,24
97801,Italian Language and Culture 1,,8
97802,Italian Language and Culture 2,,8
97803,Italian Language and Culture 3,,8
97804,Italian Language and Culture 4,,8
97805,Italian Language and Culture 5,,8
97806,Italian Language and Culture 6,,8
97807,Italian Language and Culture 7,,8
97808,Italian Language and Culture 8,,8
978110,In-country Study 2: China,,24
978210,In-country Study 2: Japan,,24
978410,In-country Study 2: France,,24
978420,In-country Study 2: Germany,,24
978430,In-country Study 2: Italy,,24
978450,In-country Study 2: Spain,,24
978460,In-country Study 2: Switzerland,,24
978520,In-country Study 2: Chile,,24
978530,In-country Study 2: Mexico,,24
978542,In-country Study 2: Argentina,,24
978543,In-country Study 2: Canada,,24
978620,In-country Study 2: Latino USA,,24
978911,In-country Study 2: Colombia,,24
131412,test,,50
13992,Aboriginal Sydney Now,,6
79018,Advanced Commercial Law,,6
79606,Advanced Taxation Law,,6
31927,Application Development with .NET,,6
36200,"Arguments, Evidence and Intuition",,6
79015,Banking Law,,6
31249,Computer Graphics Rendering Techniques,,6
48730,Cyber Security,,6
23115,Economics for Business,,6
79026,Estate Planning (UG),,6
79013,Industrial and Labour Law,,6
79006,Intellectual Property Commercialisation,,6
79603,International Business Transactions and the Law,,6
31261,Internetworking Project,,6
70110,Introduction to Law,,6
79011,Marketing Law,,6
31030,Project,,6
79027,Retirement Planning (UG),,6
41113,Software Development Studio 1,,6
41114,Software Development Studio 2,,6
32011,Multilayer Switched Networks,,6
41040,Introduction to Artificial Intelligence,,6
41180,Emerging Topics in Cyber Security and Privacy,,6
32009,Advanced Routing Principles,,6
41181,Information Security and Management,,6
41182,System Security,,6
41183,Privacy Preserving,,6
41184,Secure Programming and Penetration Testing,,6
cbk90083,Electives,cbk,6
cbk90494,Chinese Language and Culture,cbk,24
cbk90495,Japanese Language and Culture,cbk,24
cbk90497,French Language and Culture,cbk,24
cbk90498,Spanish Language and Cultur,cbk,24
cbk90499,German Language and Culture,cbk,24
cbk90500,Italian Language and Culture,cbk,24
cbk90743,Electives (Engineering),cbk,12
cbk90802,Options,cbk,24
cbk90955,Choice (Professional Engineering),cbk,12
cbk90966,Choice (Professional Engineering),cbk,30
cbk90967,Major choice (Engineering PG),cbk,42
cbk90968,No specified major choice,cbk,30
cbk90969,Biomedical Engineering choice,cbk,18
cbk90970,Civil Engineering choice,cbk,18
cbk90971,Geotechnical Engineering choice,cbk,18
cbk90972,Structural Engineering choice,cbk,18
cbk90973,Computer Control Engineering choice,cbk,18
cbk90974,Environmental Engineering choice,cbk,18
cbk90976,Manufacturing Engineering and Management choice,cbk,18
cbk90977,Operations Engineering choice,cbk,18
cbk90978,Software Systems Engineering choice,cbk,18
cbk90980,Telecommunications and Electronics choice,cbk,18
cbk90981,Water Engineering choice,cbk,18
cbk90982,Choice (Professional Engineering),cbk,6
cbk91015,Major choice (Engineering PG),cbk,42
cbk91025,Electives (Information Technology),cbk,18
cbk91037,Choice (No specified major),cbk,30
cbk91038,Options (BIS),cbk,18
cbk91039,Options (Internetworking),cbk,18
cbk91040,Options (Data Analytics),cbk,18
cbk91041,Options (Multimedia),cbk,18
cbk91042,Options (Software development),cbk,18
cbk91043,Choice (No specific major),cbk,36
cbk91044,Elective (Information Technology),cbk,6
cbk91045,Electives (Information Technology),cbk,12
cbk91046,Major choice (IT),cbk,36
cbk91047,IT Project + Elective choice,cbk,18
cbk91048,Options (BIS),cbk,24
cbk91049,Options (Internetworking),cbk,24
cbk91050,Options (Data Analytics),cbk,24
cbk91051,Options (Multimedia),cbk,24
cbk91052,Options (Software development),cbk,24
